Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,Hospital 30-Day Death (Mortality) Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack,Footnote - Hospital 30-Day Readmission Rates from Heart Attack,Hospital 30-Day Readmission Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure,Footnote - Hospital 30-Day Readmission Rates from Heart Failure,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia,Footnote - Hospital 30-Day Readmission Rates from Pneumonia
10025,GEORGE H. LANIER MEMORIAL HOSPITAL,4800 48TH ST,,,VALLEY,AL,36854.00,CHAMBERS,3347561400.00,15.40,No Different than U.S. National Rate,12.30,19.20,84.00,,8.80,No Different than U.S. National Rate,6.50,11.80,180.00,,10.30,No Different than U.S. National Rate,7.50,14.20,115.00,,20.10,No Different than U.S. National Rate,16.20,24.70,56.00,,25.10,No Different than U.S. National Rate,21.20,29.30,220.00,,19.50,No Different than U.S. National Rate,15.70,23.90,113.00,
10027,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,,,ELBA,AL,36323.00,COFFEE,3348972257.00,Not Available,Number of Cases Too Small,Not Available,Not Available,2.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,24.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.00,No Different than U.S. National Rate,8.50,16.20,89.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,1.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.40,No Different than U.S. National Rate,19.20,30.40,25.00,,17.20,No Different than U.S. National Rate,13.50,21.80,90.00,
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,,,OPELIKA,AL,36801.00,LEE,3347493411.00,16.30,No Different than U.S. National Rate,13.10,19.90,275.00,,12.90,No Different than U.S. National Rate,10.50,15.50,619.00,,12.10,No Different than U.S. National Rate,9.30,15.50,251.00,,21.90,No Different than U.S. National Rate,18.60,25.50,321.00,,25.20,No Different than U.S. National Rate,22.60,27.90,780.00,,14.90,Better than U.S. National Rate,12.10,18.40,260.00,
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,,,WEDOWEE,AL,36278.00,RANDOLPH,2563572111.00,Not Available,Number of Cases Too Small,Not Available,Not Available,9.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.40,No Different than U.S. National Rate,7.30,15.10,56.00,,13.90,No Different than U.S. National Rate,10.10,19.10,89.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,5.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.70,No Different than U.S. National Rate,21.10,30.90,76.00,,19.40,No Different than U.S. National Rate,15.70,23.60,105.00,
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,,,BIRMINGHAM,AL,35233.00,JEFFERSON,2059344011.00,15.00,No Different than U.S. National Rate,11.70,18.90,206.00,,12.50,No Different than U.S. National Rate,10.00,15.70,371.00,,12.70,No Different than U.S. National Rate,10.10,15.90,316.00,,20.30,No Different than U.S. National Rate,17.00,23.90,262.00,,25.70,No Different than U.S. National Rate,22.70,28.90,512.00,,20.60,No Different than U.S. National Rate,17.40,24.00,343.00,
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,,,TALLASSEE,AL,36078.00,ELMORE,3342836541.00,17.10,No Different than U.S. National Rate,13.40,21.10,25.00,,12.30,No Different than U.S. National Rate,9.20,16.20,98.00,,11.60,No Different than U.S. National Rate,8.50,15.40,101.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,15.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.80,No Different than U.S. National Rate,20.50,29.60,115.00,,18.10,No Different than U.S. National Rate,14.30,22.40,111.00,
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,,,CULLMAN,AL,35058.00,CULLMAN,2567372000.00,17.10,No Different than U.S. National Rate,13.70,21.20,128.00,,12.10,No Different than U.S. National Rate,9.60,14.80,360.00,,12.10,No Different than U.S. National Rate,9.80,14.80,415.00,,18.40,No Different than U.S. National Rate,14.80,22.50,99.00,,24.90,No Different than U.S. National Rate,21.70,28.20,441.00,,17.10,No Different than U.S. National Rate,14.50,20.20,432.00,
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,,,ANDALUSIA,AL,36420.00,COVINGTON,3342228466.00,Not Available,Number of Cases Too Small,Not Available,Not Available,22.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.10,No Different than U.S. National Rate,7.60,13.50,183.00,,11.10,No Different than U.S. National Rate,8.30,14.60,232.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,11.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.30,No Different than U.S. National Rate,21.40,29.50,223.00,,20.80,No Different than U.S. National Rate,17.10,24.80,253.00,
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,,,ANNISTON,AL,36201.00,CALHOUN,2562358900.00,16.40,No Different than U.S. National Rate,12.40,21.60,84.00,,12.00,No Different than U.S. National Rate,9.10,15.60,205.00,,12.00,No Different than U.S. National Rate,9.10,15.60,228.00,,20.30,No Different than U.S. National Rate,16.20,24.90,65.00,,24.40,No Different than U.S. National Rate,20.70,28.70,232.00,,18.10,No Different than U.S. National Rate,14.90,21.70,250.00,
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,,,HUNTSVILLE,AL,35801.00,MADISON,2562651000.00,15.20,No Different than U.S. National Rate,13.20,17.60,1035.00,,12.40,No Different than U.S. National Rate,10.90,14.10,1438.00,,14.10,Worse than U.S. National Rate,12.20,16.10,920.00,,18.20,No Different than U.S. National Rate,16.20,20.40,1162.00,,23.50,No Different than U.S. National Rate,21.70,25.40,1734.00,,17.50,No Different than U.S. National Rate,15.50,19.80,936.00,
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,,,GADSDEN,AL,35903.00,ETOWAH,2564944000.00,16.70,No Different than U.S. National Rate,13.20,20.90,228.00,,10.70,No Different than U.S. National Rate,8.50,13.40,385.00,,14.60,No Different than U.S. National Rate,11.90,17.90,424.00,,21.70,No Different than U.S. National Rate,18.00,25.90,219.00,,24.80,No Different than U.S. National Rate,21.70,28.10,471.00,,19.50,No Different than U.S. National Rate,16.60,22.60,459.00,
10043,CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,,,CLANTON,AL,35045.00,CHILTON,2057552500.00,Not Available,Number of Cases Too Small,Not Available,Not Available,2.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.50,No Different than U.S. National Rate,8.20,16.20,39.00,,11.20,No Different than U.S. National Rate,7.80,15.60,59.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,3.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.80,No Different than U.S. National Rate,19.40,29.20,47.00,,18.70,No Different than U.S. National Rate,14.90,23.10,78.00,
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,,,HAMILTON,AL,35570.00,MARION,2059216200.00,Not Available,Number of Cases Too Small,Not Available,Not Available,8.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.50,No Different than U.S. National Rate,8.20,15.90,69.00,,10.00,No Different than U.S. National Rate,7.20,13.70,222.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,6.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.30,No Different than U.S. National Rate,20.90,30.30,86.00,,19.40,No Different than U.S. National Rate,15.80,23.50,244.00,
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,,,FAYETTE,AL,35555.00,FAYETTE,2059325966.00,16.70,No Different than U.S. National Rate,13.10,21.00,36.00,,11.70,No Different than U.S. National Rate,8.70,15.50,104.00,,12.90,No Different than U.S. National Rate,10.00,16.50,199.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,21.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.10,No Different than U.S. National Rate,19.00,27.60,123.00,,18.50,No Different than U.S. National Rate,15.10,22.20,203.00,
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,,,GADSDEN,AL,35901.00,ETOWAH,2565435200.00,16.90,No Different than U.S. National Rate,13.50,21.10,150.00,,10.80,No Different than U.S. National Rate,8.60,13.60,383.00,,12.70,No Different than U.S. National Rate,10.00,16.00,376.00,,20.20,No Different than U.S. National Rate,16.40,24.40,145.00,,27.00,No Different than U.S. National Rate,23.70,30.40,456.00,,20.10,No Different than U.S. National Rate,17.10,23.40,393.00,
10047,GEORGIANA HOSPITAL,515 MIRANDA ST,,,GEORGIANA,AL,36033.00,BUTLER,3343762205.00,14.50,No Different than U.S. National Rate,11.20,18.30,40.00,,10.80,No Different than U.S. National Rate,7.70,14.70,70.00,,11.30,No Different than U.S. National Rate,8.10,15.40,104.00,,20.60,No Different than U.S. National Rate,16.30,25.40,31.00,,28.20,No Different than U.S. National Rate,23.50,33.30,103.00,,20.10,No Different than U.S. National Rate,16.30,24.90,120.00,
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,,,ENTERPRISE,AL,36330.00,COFFEE,3343470584.00,16.60,No Different than U.S. National Rate,12.70,21.70,33.00,,12.90,No Different than U.S. National Rate,9.80,16.80,154.00,,12.90,No Different than U.S. National Rate,9.80,16.90,182.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,20.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.20,No Different than U.S. National Rate,20.30,28.50,192.00,,20.20,No Different than U.S. National Rate,16.60,24.40,190.00,
10050,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,,,ONEONTA,AL,35121.00,BLOUNT,2052743000.00,Not Available,Number of Cases Too Small,Not Available,Not Available,23.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.00,No Different than U.S. National Rate,9.50,17.60,71.00,,15.30,No Different than U.S. National Rate,11.70,19.70,153.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,12.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,26.80,No Different than U.S. National Rate,22.20,32.30,76.00,,16.70,No Different than U.S. National Rate,13.60,20.50,174.00,
10051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,,,EUTAW,AL,35462.00,GREENE,2053723388.00,Not Available,Number of Cases Too Small,Not Available,Not Available,1.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.20,No Different than U.S. National Rate,7.60,16.20,34.00,,11.50,No Different than U.S. National Rate,7.90,16.60,38.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,1.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,28.20,No Different than U.S. National Rate,22.80,34.30,45.00,,19.00,No Different than U.S. National Rate,14.50,24.30,39.00,
10052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,,,DADEVILLE,AL,36853.00,TALLAPOOSA,2568257821.00,Not Available,Number of Cases Too Small,Not Available,Not Available,11.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.90,No Different than U.S. National Rate,7.60,15.60,38.00,,10.80,No Different than U.S. National Rate,7.40,16.00,72.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,13.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.90,No Different than U.S. National Rate,20.30,30.00,54.00,,19.10,No Different than U.S. National Rate,15.40,23.60,83.00,
10054,PARKWAY MEDICAL CENTER,1874 BELTLINE RD SW,,,DECATUR,AL,35601.00,MORGAN,2563502211.00,15.80,No Different than U.S. National Rate,12.30,20.10,27.00,,10.50,No Different than U.S. National Rate,8.00,13.60,219.00,,11.90,No Different than U.S. National Rate,9.00,15.60,214.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,9.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.10,No Different than U.S. National Rate,21.60,29.00,291.00,,20.20,No Different than U.S. National Rate,16.90,23.80,257.00,
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,,,DOTHAN,AL,36305.00,HOUSTON,3347935000.00,15.20,No Different than U.S. National Rate,12.20,18.80,315.00,,12.00,No Different than U.S. National Rate,9.70,14.70,518.00,,11.30,No Different than U.S. National Rate,9.00,14.00,419.00,,19.20,No Different than U.S. National Rate,15.90,22.90,333.00,,23.10,No Different than U.S. National Rate,20.20,26.20,627.00,,18.80,No Different than U.S. National Rate,15.80,22.10,434.00,
10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,,,BIRMINGHAM,AL,35205.00,JEFFERSON,2059397000.00,16.20,No Different than U.S. National Rate,12.90,19.80,233.00,,10.60,No Different than U.S. National Rate,8.50,13.00,499.00,,12.60,No Different than U.S. National Rate,10.20,15.20,524.00,,19.30,No Different than U.S. National Rate,16.10,23.20,250.00,,26.80,No Different than U.S. National Rate,23.70,30.10,586.00,,19.50,No Different than U.S. National Rate,16.70,22.70,499.00,
10058,BIBB MEDICAL CENTER,208 PIERSON AVE,,,CENTREVILLE,AL,35042.00,BIBB,2059264881.00,Not Available,Number of Cases Too Small,Not Available,Not Available,2.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,14.00,No Different than U.S. National Rate,10.00,19.10,27.00,,13.60,No Different than U.S. National Rate,9.50,18.90,53.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,1.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.90,No Different than U.S. National Rate,19.50,29.40,33.00,,18.10,No Different than U.S. National Rate,14.30,23.10,51.00,
10059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,,,MOULTON,AL,35650.00,LAWRENCE,2569742200.00,15.60,No Different than U.S. National Rate,12.10,19.60,34.00,,9.90,No Different than U.S. National Rate,6.90,13.80,85.00,,9.80,No Different than U.S. National Rate,7.20,13.30,161.00,,20.20,No Different than U.S. National Rate,16.50,24.50,34.00,,28.20,No Different than U.S. National Rate,23.50,33.30,105.00,,21.40,No Different than U.S. National Rate,17.60,25.20,179.00,
10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,,,SCOTTSBORO,AL,35768.00,JACKSON,2562594444.00,15.00,No Different than U.S. National Rate,11.30,19.40,35.00,,13.40,No Different than U.S. National Rate,10.10,17.30,154.00,,12.90,No Different than U.S. National Rate,10.40,15.80,459.00,,Not Available,Number of Cases Too Small,Not Available,Not Available,20.00,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,26.90,No Different than U.S. National Rate,22.70,31.70,165.00,,19.40,No Different than U.S. National Rate,16.70,22.50,489.00,
